Surname,PhD or Highest Degree,Research Domain 1,Research Domain 2,Research Domain 3,Academic Discipline
Conte-Grand,Economics,Climate & Energy Policy,Environmental Policy,,Social Sciences
Cooke,Mathematics,Philosophy,Risk & Uncertainty Assessment ,Computational Modelling,"Physical, Natural & Applied Sciences"
Corbera,Development Studies,Climate & Energy Policy,Land Use Science,,Social Sciences
Cottier,Law,Climate & Energy Policy,Environmental Policy,,Social Sciences
Creutzig,Computational neuroscience,Energy Systems,Climate & Energy Policy,Land Use Science,"Physical, Natural & Applied Sciences"
Cruz-Núñez,Physical Chemistry,Biophysical & Ecological Modelling,Environmental Impact & Risk Assessment,,"Physical, Natural & Applied Sciences"
D'Agosto,Transport Engineering,Environmental Engineering,Climate & Energy Policy,,Engineering
Dadhich,Chemical Engineering,Environmental Engineering,,,Engineering
de Coninck,Technology,Climate & Energy Policy,Energy Systems,Technology Policy & Innovation,Engineering
De-La-Vega-Navarro,Economics,Climate & Energy Policy,,,Social Sciences
Deakin,Law,Environmental Policy,Technology Policy & Innovation,,Social Sciences
Delgado-Ramos,Environmental Economics,Environmental Policy,Climate & Energy Policy,,Social Sciences
Demkine,MD,,,,MD
Den-Elzen,Modelling Environmental Change,Computational Modelling (IAM),Climate & Energy Policy,Energy Systems,"Physical, Natural & Applied Sciences"
Dewar,Urban Planning,Urban Planning,,,Social Sciences
Dhakal,Energy,Climate & Energy Policy,Urban Planning,,Social Sciences
Diaz-Morejon,Water Resources,Environmental Engineering,Environmental Policy,,Engineering
Dimitriu,Engineering,Environmental Engineering,Energy Systems,,Engineering
Dong,MD,,,,MD
Dubash,Energy & Resources,Energy Systems,Environmental Policy,,Social Sciences
Dutt,Psychology,Engineering,Computational Modelling,Environmental Impact & Risk Assessment,"Physical, Natural & Applied Sciences"
Edenhofer,Economics,Environmental & Climate Economics,Energy Systems,,Economics
Edmonds,Economics,Environmental & Climate Economics,Energy Systems,Climate & Energy Policy,Economics
El-Gizouli,Operation Research & Statistics*,Energy Systems,Climate & Energy Policy,Technology Policy & Innovation,"Physical, Natural & Applied Sciences"
Elsiddig,Forestry,Biophysical & Ecological Modelling,,,"Physical, Natural & Applied Sciences"
