Surname,Gender,Current Institution,Country of current work,Country of birth/citizenship,PhD or highest degree awarding institution ,PhD or highest degree awarding country,IPCC representing country (i.e. Country of residence from IPCC doc),IPCC AR5 WGIII chapter,Role in the chapter,Other Institution 1,Other Institution 2,Other Institution 3,Other Institution 4,Other Institution 5,Other Institution 6,Other Institution 7,Other Institution 8,Other Institution 9,Other Institution 10,Other Institution 11,Other Institution 12,Other Institution 13,Other Institution 13,Other Institution 14,Other Institution 15
Lucon,1,SMA-SP,Brazil,Brazil,UoSaoPaulo,Brazil,Brazil,9,CLA,CETESB,IMT,UoSaoPaulo,,,,,,,,,,,,,
Lutz,1,WCDGHC,Austria,Austria,UoPennsylvania,USA,Austria,4,LA,UoOxford,MPIC,APHRC,European_Comission,IUSSP,UoVienna,,,,,,,,,,
Lwasa,1,UoMarkerere,Uganda,MD,UoMarkerere,Uganda,Uganda,12,LA,MD,,,,,,,,,,,,,,,
Machado-Filho,1,UNDP,Brazil,Brazil,UoGeneva,Switzerland,Brazil,16,LA,Ministry_Science_Technology_Brazil,,,,,,,,,,,,,,,
Managi,1,UoTohoku,Japan,Japan,UoRhode_Island,USA,Japan,15,LA,JoEEM,JoEDC,JoRE,JoIE,WRS,,,,,,,,,,,
Masera-Cerutti,1,UNAM,Mexico,Mexico,UoCalifornia_Berkeley,USA,Mexico,11,LA,FAO,UNFCCC,Mexican_Government,,,,,,,,,,,,,
Massetti,1,FEEM,Italy,Italy,Cath_UoMilan,Italy,Italy,16,LA,UoVenice,UoYale,RFF,,,,,,,,,,,,,
Mathur,0,TERI,India,India,UoKyoto,Japan,India,5,LA,MD,,,,,,,,,,,,,,,
Mbow,1,UoAnta_Diop,Senegal,Senegal,UoAnta_Diop/UoCopenhagen,Senegal/Denmark,Senegal,11,LA,MD,,,,,,,,,,,,,,,
McKinnon,1,KLU,Germany,UK,UCL,UK,Germany,8,LA,UoLeicester,,,,,,,,,,,,,,,
McMahon,1,BCRPA,USA,MD,UoFlorida,USA,USA,12,LA,LBNL,UoCalifornia_Berkeley,,,,,,,,,,,,,,
Messouli,1,UoCadi_Ayyad,Morocco,Morocco,MD,MD,Morocco,14,LA,MD,,,,,,,,,,,,,,,
Meyer,1,UoGraz,Austria,Germany,UoOxford,UK,Austria,3,LA,UoBern,UoKeele,UoZurich,FU_Berlin,,,,,,,,,,,,
Michaelowa,1,UoZurich,Switzerland,Germany,UoHamburg,Germany,Switzerland,13,LA,HWWA,,,,,,,,,,,,,,,
Mirasgedis,1,NOA,Greece,MD,MD,MD,Greece,9,LA,MD,,,,,,,,,,,,,,,
Mitchell,0,UoExeter,UK,UK,UoSussex,UK,UK,15,LA,UoWarwick,UoSussex,UoCalifornia_Berkeley,UKERC,,,,,,,,,,,,
Montero,1,PUC,Chile,Chile,MIT,USA,Chile,15,LA,PUC,ISCI,MIT,World_Bank,,,,,,,,,,,,
Morgan,0,WRI,USA,USA,UoAmerican,USA,USA,13,RE,E3G,WWF,US_Climate_Action,,,,,,,,,,,,,
Müller,1,NTNU,Norway,Switzerland,ETH_Zurich,Switzerland,Norway,12,LA,MD,,,,,,,,,,,,,,,
Mulugetta,1,UoSurrey,UK,Ethiopia,UoLeeds,UK,UK,7,CLA,CES,ACPC,UNECA,,,,,,,,,,,,,
Mundaca,1,UoLund,Sweden,Chile,UoLund,Sweden,Sweden,3,LA,UoSevilla,MD,,,,,,,,,,,,,,
